information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_1039~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-196~0~0~3~1
InfoAct_id_1040~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-196~0~0~2~1
InfoAct_id_1041~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-197~0~0~3~1
InfoAct_id_1042~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-197~0~0~2~1
InfoAct_id_1043~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-198~0~0~3~1
InfoAct_id_1044~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-198~0~0~2~1
InfoAct_id_1045~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-199~0~0~3~1
InfoAct_id_1046~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-199~0~0~2~1
InfoAct_id_1047~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-1~0~0~2~1
InfoAct_id_1048~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-2~0~0~2~1
InfoAct_id_1049~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-3~0~0~2~1
InfoAct_id_1050~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-4~0~0~2~1
InfoAct_id_1051~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-5~0~0~2~1
InfoAct_id_1052~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-6~0~0~2~1
InfoAct_id_1053~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-7~0~0~2~1
InfoAct_id_1054~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-8~0~0~2~1
InfoAct_id_1055~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-9~0~0~2~1
InfoAct_id_1056~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-10~0~0~2~1
InfoAct_id_1057~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-422~0~0~3~1
InfoAct_id_1058~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-422~0~0~2~1
InfoAct_id_1059~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-423~0~0~3~1
InfoAct_id_1060~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-423~0~0~2~1
InfoAct_id_1061~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-424~0~0~3~1
InfoAct_id_1062~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-424~0~0~2~1
InfoAct_id_1063~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-425~0~0~3~1
InfoAct_id_1064~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-425~0~0~2~1
InfoAct_id_1065~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-426~0~0~3~1
InfoAct_id_1066~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-426~0~0~2~1
InfoAct_id_1067~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-427~0~0~3~1
