information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_5018~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-242~0~0~3~Sim0
InfoAct_id_5019~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-246~0~0~3~Sim0
InfoAct_id_5020~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-250~0~0~3~Sim0
InfoAct_id_5021~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-254~0~0~3~Sim0
InfoAct_id_5022~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-258~0~0~3~Sim0
InfoAct_id_5023~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-262~0~0~3~Sim0
InfoAct_id_5024~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-266~0~0~3~Sim0
InfoAct_id_5025~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-270~0~0~3~Sim0
InfoAct_id_5026~SEND~Kauno Diena (kauno.diena.lt)~MG Arkady Vilktotovich Bakhin~IP-238~0~0~3~Sim0
InfoAct_id_5027~SEND~Kauno Diena (kauno.diena.lt)~MG Arkady Vilktotovich Bakhin~IP-242~0~0~3~Sim0
