information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_171~SEND~15min (15min.lt)~B-ID-12~IP-311~0~0~1~Sim0
InfoAct_id_172~SEND~15min (15min.lt)~B-ID-12~IP-315~0~0~1~Sim0
InfoAct_id_173~SEND~15min (15min.lt)~B-ID-12~IP-319~0~0~1~Sim0
InfoAct_id_174~SEND~15min (15min.lt)~B-ID-12~IP-323~0~0~1~Sim0
InfoAct_id_175~SEND~15min (15min.lt)~B-ID-12~IP-327~0~0~1~Sim0
InfoAct_id_176~SEND~15min (15min.lt)~B-ID-12~IP-331~0~0~1~Sim0
InfoAct_id_177~SEND~15min (15min.lt)~B-ID-12~IP-335~0~0~1~Sim0
InfoAct_id_178~SEND~15min (15min.lt)~B-ID-12~IP-339~0~0~1~Sim0
InfoAct_id_179~SEND~15min (15min.lt)~B-ID-20~IP-274~0~0~1~Sim0
InfoAct_id_180~SEND~15min (15min.lt)~B-ID-20~IP-278~0~0~1~Sim0
InfoAct_id_181~SEND~15min (15min.lt)~B-ID-20~IP-282~0~0~1~Sim0
InfoAct_id_182~SEND~15min (15min.lt)~B-ID-20~IP-286~0~0~1~Sim0
InfoAct_id_183~SEND~15min (15min.lt)~B-ID-20~IP-290~0~0~1~Sim0
InfoAct_id_184~SEND~15min (15min.lt)~B-ID-20~IP-307~0~0~1~Sim0
InfoAct_id_185~SEND~15min (15min.lt)~B-ID-20~IP-311~0~0~1~Sim0
InfoAct_id_186~SEND~15min (15min.lt)~B-ID-20~IP-315~0~0~1~Sim0
InfoAct_id_187~SEND~15min (15min.lt)~B-ID-20~IP-319~0~0~1~Sim0
InfoAct_id_188~SEND~15min (15min.lt)~B-ID-20~IP-323~0~0~1~Sim0
InfoAct_id_189~SEND~15min (15min.lt)~B-ID-20~IP-327~0~0~1~Sim0
InfoAct_id_190~SEND~15min (15min.lt)~B-ID-20~IP-331~0~0~1~Sim0
InfoAct_id_191~SEND~15min (15min.lt)~B-ID-20~IP-335~0~0~1~Sim0
InfoAct_id_192~SEND~15min (15min.lt)~B-ID-20~IP-339~0~0~1~Sim0
InfoAct_id_193~SEND~15min (15min.lt)~B-ID-27~IP-274~0~0~1~Sim0
InfoAct_id_194~SEND~15min (15min.lt)~B-ID-27~IP-278~0~0~1~Sim0
InfoAct_id_195~SEND~15min (15min.lt)~B-ID-27~IP-282~0~0~1~Sim0
InfoAct_id_196~SEND~15min (15min.lt)~B-ID-27~IP-286~0~0~1~Sim0
InfoAct_id_197~SEND~15min (15min.lt)~B-ID-27~IP-290~0~0~1~Sim0
InfoAct_id_198~SEND~15min (15min.lt)~B-ID-27~IP-307~0~0~1~Sim0
InfoAct_id_199~SEND~15min (15min.lt)~B-ID-27~IP-311~0~0~1~Sim0
InfoAct_id_200~SEND~15min (15min.lt)~B-ID-27~IP-315~0~0~1~Sim0
InfoAct_id_201~SEND~15min (15min.lt)~B-ID-27~IP-319~0~0~1~Sim0
InfoAct_id_202~SEND~15min (15min.lt)~B-ID-27~IP-323~0~0~1~Sim0
InfoAct_id_203~SEND~15min (15min.lt)~B-ID-27~IP-327~0~0~1~Sim0
InfoAct_id_204~SEND~15min (15min.lt)~B-ID-27~IP-331~0~0~1~Sim0
InfoAct_id_205~SEND~15min (15min.lt)~B-ID-27~IP-335~0~0~1~Sim0
InfoAct_id_206~SEND~15min (15min.lt)~B-ID-27~IP-339~0~0~1~Sim0
InfoAct_id_207~SEND~15min (15min.lt)~B-ID-61~IP-274~0~0~1~Sim0
InfoAct_id_208~SEND~15min (15min.lt)~B-ID-61~IP-278~0~0~1~Sim0
InfoAct_id_209~SEND~15min (15min.lt)~B-ID-61~IP-282~0~0~1~Sim0
InfoAct_id_210~SEND~15min (15min.lt)~B-ID-61~IP-286~0~0~1~Sim0
