information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3164~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-58~0~0~2~Sim0
InfoAct_id_3165~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-62~0~0~2~Sim0
InfoAct_id_3166~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-66~0~0~2~Sim0
InfoAct_id_3167~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-70~0~0~2~Sim0
InfoAct_id_3168~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-74~0~0~2~Sim0
InfoAct_id_3169~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-78~0~0~2~Sim0
InfoAct_id_3170~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-82~0~0~2~Sim0
InfoAct_id_3171~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-86~0~0~2~Sim0
InfoAct_id_3172~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-90~0~0~2~Sim0
InfoAct_id_3173~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-94~0~0~2~Sim0
InfoAct_id_3174~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-98~0~0~2~Sim0
InfoAct_id_3175~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-102~0~0~2~Sim0
InfoAct_id_3176~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-106~0~0~2~Sim0
InfoAct_id_3177~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-110~0~0~2~Sim0
InfoAct_id_3178~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-423~0~0~2~Sim0
InfoAct_id_3179~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-427~0~0~2~Sim0
InfoAct_id_3180~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-431~0~0~2~Sim0
InfoAct_id_3181~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-435~0~0~2~Sim0
InfoAct_id_3182~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-439~0~0~2~Sim0
InfoAct_id_3183~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-443~0~0~2~Sim0
InfoAct_id_3184~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-447~0~0~2~Sim0
InfoAct_id_3185~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-451~0~0~2~Sim0
