relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_163~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_164~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_165~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_166~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_167~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_168~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_169~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_170~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_171~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_172~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_173~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_174~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_175~GEN Nikolai Yegorovich Makarov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_176~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_177~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_178~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_179~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_180~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_181~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_182~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_183~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_184~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_185~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_186~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_187~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_188~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_189~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_190~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_191~GEN Nikolai Yegorovich Makarov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_192~GEN Nikolai Yegorovich Makarov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_193~GEN Nikolai Yegorovich Makarov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_194~GEN Nikolai Yegorovich Makarov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_195~GEN Nikolai Yegorovich Makarov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_196~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_197~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_198~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_199~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_200~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_201~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_202~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_203~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_204~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~3~Sim0
